vehicle.make,vehicle.model,vehicle.year,vehicle.type,fuelType,reviewCount,rating,location.city
Chevrolet,Camaro,2019,car,GASOLINE,2,5.0,Atlanta
Mercedes-Benz,C-Class,2016,car,GASOLINE,31,5.0,Atlanta
BMW,M4,2016,car,GASOLINE,14,5.0,Smyrna
Tesla,Model 3,2018,car,ELECTRIC,18,4.94,Atlanta
BMW,5 Series,2011,car,GASOLINE,13,5.0,Atlanta
Tesla,Model X,2016,suv,ELECTRIC,47,4.89,Atlanta
BMW,i8,2015,car,GASOLINE,61,4.93,Fairburn
Mercedes-Benz,E-Class,2017,car,GASOLINE,2,5.0,Grayson
Land Rover,Range Rover Sport,2018,suv,GASOLINE,11,5.0,Atlanta
Chevrolet,Corvette,2016,car,GASOLINE,22,5.0,Clarkston
Ford,Fiesta,2017,car,GASOLINE,36,4.92,Atlanta
Mercedes-Benz,AMG GT,2016,car,GASOLINE,35,5.0,Atlanta
Volkswagen,Arteon,2019,car,GASOLINE,18,4.94,Atlanta
Ford,Fiesta,2015,car,GASOLINE,34,4.97,Atlanta
Maserati,Ghibli,2015,car,GASOLINE,39,5.0,Atlanta
BMW,X6,2018,suv,GASOLINE,9,4.89,Atlanta
Mercedes-Benz,SLK-Class,2013,car,GASOLINE,10,4.9,Smyrna
Tesla,Model 3,2020,car,ELECTRIC,0,,Atlanta
Land Rover,Range Rover Velar,2019,suv,GASOLINE,7,4.86,Atlanta
Bentley,Continental GT,2005,car,GASOLINE,45,4.91,Atlanta
Porsche,Panamera,2018,car,GASOLINE,5,5.0,Atlanta
Tesla,Model X,2016,suv,ELECTRIC,5,5.0,Atlanta
Porsche,Cayenne,2017,suv,HYBRID,11,5.0,Snellville
Porsche,718 Cayman,2017,car,GASOLINE,0,,Marietta
Tesla,Model 3,2019,car,ELECTRIC,2,5.0,Alpharetta
Porsche,Cayenne,2011,suv,GASOLINE,61,4.82,Atlanta
Jaguar,F-TYPE,2016,car,GASOLINE,5,5.0,Kennesaw
Ford,Fiesta,2017,car,GASOLINE,26,4.73,Atlanta
Chevrolet,Camaro,2016,car,GASOLINE,54,4.96,Atlanta
Audi,TTS,2017,car,GASOLINE,4,5.0,Snellville
BMW,X4,2017,suv,GASOLINE,1,5.0,Kennesaw
Dodge,Charger,2017,car,GASOLINE,48,4.85,Atlanta
Mercedes-Benz,C-Class,2016,car,GASOLINE,0,,Fairburn
GMC,Yukon,2019,suv,GASOLINE,0,,Atlanta
Tesla,Model 3,2019,car,ELECTRIC,21,5.0,Atlanta
Chevrolet,Suburban,2011,suv,GASOLINE,26,4.85,Atlanta
Toyota,Corolla,2020,car,GASOLINE,23,4.74,Atlanta
Porsche,Boxster,2015,car,GASOLINE,21,5.0,Peachtree City
Tesla,Model 3,2019,car,ELECTRIC,13,4.77,Duluth
Mitsubishi,Mirage,2014,car,GASOLINE,39,4.51,Atlanta
Chevrolet,Corvette,2017,car,GASOLINE,9,5.0,Marietta
Porsche,Panamera,2016,car,GASOLINE,42,4.88,Atlanta
Land Rover,Range Rover,2016,suv,DIESEL,1,5.0,Atlanta
BMW,4 Series,2014,car,GASOLINE,47,4.87,Atlanta
Lexus,IS 200t,2016,car,GASOLINE,40,4.92,Atlanta
Chevrolet,Suburban,2012,suv,GASOLINE,2,5.0,Atlanta
Nissan,Versa,2017,car,GASOLINE,28,4.86,Atlanta
Maserati,Ghibli,2017,car,GASOLINE,11,5.0,Woodstock
Jaguar,F-TYPE,2014,car,GASOLINE,24,5.0,Mableton
BMW,4 Series,2015,car,GASOLINE,6,5.0,Bremen
Dodge,Challenger,2019,car,GASOLINE,55,5.0,Atlanta
Audi,A7,2017,car,GASOLINE,25,4.92,Atlanta
Ford,Mustang,2014,car,GASOLINE,14,5.0,Newnan
Maserati,Ghibli,2017,car,GASOLINE,3,5.0,Lithonia
Audi,Q7,2015,suv,DIESEL,15,5.0,Douglasville
Acura,MDX,2016,suv,GASOLINE,0,,Douglasville
Ford,Mustang,2018,car,GASOLINE,10,5.0,Conyers
Tesla,Model S,2015,car,ELECTRIC,8,5.0,Atlanta
Hyundai,Accent,2017,car,GASOLINE,65,4.89,Decatur
Dodge,Challenger,2018,car,GASOLINE,117,4.98,Atlanta
Maserati,Ghibli,2015,car,GASOLINE,8,5.0,Atlanta
Tesla,Model S,2013,car,ELECTRIC,70,4.89,Peachtree City
Kia,Rio,2020,car,,0,,Atlanta
Nissan,Altima,2018,car,GASOLINE,11,5.0,Atlanta
Tesla,Model X,2017,suv,ELECTRIC,0,,Mableton
Mercedes-Benz,S-Class,2014,car,GASOLINE,5,5.0,Woodstock
Tesla,Model 3,2018,car,ELECTRIC,0,,Decatur
Volkswagen,Jetta,2011,car,GASOLINE,76,4.74,Atlanta
Volkswagen,New Beetle,2008,car,GASOLINE,1,5.0,Decatur
Porsche,Cayenne,2017,suv,GASOLINE,16,4.75,Atlanta
Chevrolet,Silverado 1500,2017,truck,GASOLINE,5,5.0,Atlanta
Tesla,Model 3,2020,car,ELECTRIC,18,4.83,Duluth
Kia,Optima,2016,car,HYBRID,13,4.77,east point
Porsche,Macan,2017,suv,GASOLINE,51,4.9,Atlanta
Kia,Sorento,2014,suv,GASOLINE,22,5.0,Fairburn
Jeep,Wrangler,2017,suv,GASOLINE,3,5.0,Stone Mountain
GMC,Yukon XL,2019,suv,GASOLINE,0,,Atlanta
Porsche,Boxster,2015,car,GASOLINE,14,5.0,Norcross
Lexus,IS,2020,car,GASOLINE,11,5.0,Smyrna
Nissan,Versa Note,2015,car,GASOLINE,195,4.63,Atlanta
Mercedes-Benz,CLS-Class,2016,car,GASOLINE,63,4.86,Atlanta
Dodge,Charger,2020,car,GASOLINE,0,,Atlanta
Kia,Soul,2014,car,GASOLINE,6,5.0,Lithia Springs
Volkswagen,Passat,2015,car,GASOLINE,49,4.78,Atlanta
Nissan,Altima,2016,car,GASOLINE,98,4.81,Atlanta
Hyundai,Elantra,2019,car,GASOLINE,23,4.96,Atlanta
Jeep,Grand Cherokee,2019,suv,GASOLINE,51,5.0,Atlanta
MINI,Cooper,2015,car,GASOLINE,13,5.0,Smyrna
Jeep,Grand Cherokee,2017,suv,GASOLINE,4,5.0,Dunwoody
Volkswagen,Passat,2012,car,GASOLINE,49,4.84,Atlanta
BMW,i8,2016,car,HYBRID,2,5.0,Atlanta
Land Rover,Range Rover Velar,2018,suv,GASOLINE,19,4.89,Sandy Springs
Tesla,Model 3,2020,car,ELECTRIC,3,5.0,Mableton
Tesla,Model 3,2020,car,ELECTRIC,34,5.0,Dunwoody
Tesla,Model S,2013,car,ELECTRIC,78,4.79,Atlanta
Toyota,Prius,2010,car,HYBRID,18,4.83,East Point
Mercedes-Benz,E-Class,2016,car,GASOLINE,36,4.94,Atlanta
BMW,X5,2009,suv,GASOLINE,38,4.79,Atlanta
Jeep,Compass,2018,suv,GASOLINE,9,5.0,Atlanta
Polaris,Slingshot,2017,car,GASOLINE,4,5.0,Douglasville
Chevrolet,Cruze,2017,car,GASOLINE,22,4.86,Decatur
Jeep,Wrangler Unlimited,2019,suv,GASOLINE,35,4.97,Atlanta
Chevrolet,Camaro,2015,car,GASOLINE,3,4.67,Sandy Springs
Mercedes-Benz,E-Class,2014,car,GASOLINE,19,5.0,Atlanta
Chrysler,300,2018,car,GASOLINE,5,4.8,Sugar Hill
Maserati,Levante,2020,suv,GASOLINE,13,4.69,Sandy Springs
Mercedes-Benz,E-Class,2012,car,GASOLINE,69,4.86,Atlanta
Jeep,Wrangler,2017,suv,GASOLINE,19,4.95,Atlanta
Hyundai,Genesis,2014,car,GASOLINE,8,5.0,Marietta
BMW,X5,2015,suv,GASOLINE,0,,Atlanta
Nissan,Sentra,2017,car,GASOLINE,146,4.9,Atlanta
Toyota,Camry,2017,car,GASOLINE,70,4.86,Decatur
BMW,3 Series,2011,car,GASOLINE,70,4.67,Atlanta
Toyota,RAV4,2017,suv,GASOLINE,9,4.89,Marietta
Chevrolet,Tahoe,2015,suv,GASOLINE,0,,Stockbridge
Mazda,MX-5 Miata,2016,car,GASOLINE,63,5.0,Suwanee
Dodge,Grand Caravan,2016,minivan,GASOLINE,2,5.0,Conyers
Toyota,Camry,2018,car,GASOLINE,66,4.86,Decatur
BMW,X4,2020,suv,GASOLINE,0,,Powder Springs
Chevrolet,Cruze,2017,car,GASOLINE,3,5.0,Lithonia
Lexus,HS 250h,2010,car,HYBRID,88,4.81,Decatur
Audi,A4,2012,car,GASOLINE,64,4.72,Atlanta
Kia,Optima,2013,car,GASOLINE,139,4.92,Forest Park
Toyota,Sienna,2012,minivan,GASOLINE,9,5.0,Decatur
Toyota,Camry,2020,car,,0,,Stone Mountain
Jeep,Patriot,2015,suv,GASOLINE,3,5.0,Atlanta
Mercedes-Benz,CLA-Class,2018,car,GASOLINE,6,5.0,Decatur
Toyota,Camry,2018,car,GASOLINE,49,4.9,Decatur
Ford,Escape,2017,suv,GASOLINE,52,4.88,Norcross
Toyota,Camry,2017,car,GASOLINE,36,4.83,Decatur
Chevrolet,Suburban,2019,suv,GASOLINE,10,5.0,Sandy Springs
Lexus,IS 250,2015,car,GASOLINE,37,4.97,McDonough
Ford,Focus,2018,car,GASOLINE,54,4.87,Norcross
Tesla,Model X,2019,suv,ELECTRIC,2,5.0,McDonough
Land Rover,Range Rover,2020,suv,,8,5.0,Atlanta
Audi,A8,2015,car,,5,4.8,Duluth
BMW,4 Series Gran Coupe,2016,car,GASOLINE,34,4.91,Atlanta
Nissan,Altima,2015,car,GASOLINE,64,4.86,Covington
Ford,F-150,2019,truck,GASOLINE,23,5.0,Marietta 
Toyota,Yaris iA,2017,car,GASOLINE,51,4.73,Decatur
Buick,LaCrosse,2016,car,GASOLINE,81,4.7,Atlanta
Acura,TSX,2011,car,GASOLINE,14,5.0,Snellville
Lexus,IS 250,2015,car,GASOLINE,33,4.85,McDonough
Volkswagen,Tiguan,2011,suv,GASOLINE,37,4.73,Atlanta
Toyota,Camry,2008,car,HYBRID,40,4.88,Decatur
Lexus,IS 250,2014,car,GASOLINE,0,,Stonecrest
Acura,TSX,2011,car,GASOLINE,17,4.88,Snellville 
