vehicle.make,vehicle.model,vehicle.year,vehicle.type,fuelType,reviewCount,rating,location.city
Ford,Mustang,2018,car,GASOLINE,17,5.0,West Park
BMW,4 Series,2017,car,GASOLINE,28,5.0,Fort Lauderdale
Chevrolet,Express,2015,van,GASOLINE,3,5.0,Fort Lauderdale
BMW,I8,2019,car,HYBRID,41,4.98,Pembroke Pines
Audi,A5,2018,car,GASOLINE,1,5.0,Fort Lauderdale
Ford,Mustang,2016,car,GASOLINE,159,4.96,Dania Beach
Porsche,718 Boxster,2017,car,GASOLINE,14,5.0,North Miami
BMW,i8,2015,car,HYBRID,84,4.98,Fort Lauderdale
Chevrolet,Corvette,2016,car,GASOLINE,57,4.96,Fort Lauderdale
Lexus,GX 460,2017,suv,GASOLINE,14,5.0,Pembroke Pines
Ford,Mustang,2014,car,GASOLINE,74,4.92,Dania Beach
GMC,Yukon,2019,suv,GASOLINE,21,4.9,Davie
Porsche,Panamera,2020,car,GASOLINE,2,5.0,Miami
Porsche,Cayenne,2016,suv,GASOLINE,50,4.82,Aventura
Lamborghini,Huracan,2019,car,,15,4.8,Miami Beach
Land Rover,Range Rover,2018,suv,GASOLINE,8,5.0,Aventura
Porsche,Cayenne,2014,suv,GASOLINE,9,4.56,Aventura
Lamborghini,Huracan,2019,car,,3,5.0,Miami Beach
Nissan,Versa,2018,car,GASOLINE,2,4.0,Fort Lauderdale
Nissan,Rogue,2017,suv,GASOLINE,34,4.97,Pompano Beach
Chevrolet,Express,2016,van,GASOLINE,0,,Fort Lauderdale
Land Rover,Range Rover,2019,suv,GASOLINE,26,5.0,Miami
Maserati,Ghibli,2014,car,GASOLINE,97,4.99,Plantation
BMW,2 Series,2015,car,GASOLINE,75,4.95,Dania Beach
Chevrolet,Camaro,2019,car,GASOLINE,8,5.0,Miramar
Ford,Mustang,2018,car,GASOLINE,100,4.97,Hollywood
Chevrolet,Express,2017,van,GASOLINE,8,5.0,Fort Lauderdale
Lamborghini,Huracan,2019,car,GASOLINE,11,5.0,Miami
Chevrolet,Corvette,2019,car,GASOLINE,0,,Fort Lauderdale
Volvo,XC90,2020,suv,GASOLINE,8,5.0,Miami
Ferrari,California,2012,car,GASOLINE,0,,Miami Beach
Maserati,Quattroporte,2015,car,GASOLINE,17,4.71,Fort Lauderdale
Mazda,MAZDA2,2012,car,GASOLINE,10,5.0,Fort Worth
FIAT,500,2015,car,GASOLINE,19,4.95,Fort Worth
FIAT,500,2012,car,GASOLINE,13,5.0,Fort Worth
FIAT,500,2015,car,GASOLINE,8,5.0,Fort Worth
Tesla,Model 3,2019,car,ELECTRIC,14,5.0,Fort Wayne
Honda,Civic,2008,car,HYBRID,12,5.0,Spokane
Mercedes-Benz,GLK-Class,2010,suv,GASOLINE,85,4.95,Spokane
Alfa Romeo,Giulia,2017,car,GASOLINE,89,4.99,Spokane
Dodge,Challenger,2017,car,GASOLINE,3,5.0,Cheney
Subaru,Crosstrek,2018,suv,GASOLINE,3,5.0,Spokane
Tesla,Model 3,2018,car,ELECTRIC,19,5.0,Coeur d'Alene
Buick,Enclave,2008,suv,GASOLINE,19,5.0,Spokane
Chrysler,300,2018,car,GASOLINE,21,5.0,Spokane
FIAT,124 Spider,2017,car,GASOLINE,9,5.0,Airway Heights
Tesla,Model X,2016,suv,ELECTRIC,3,5.0,Spokane
Dodge,Charger,2016,car,GASOLINE,0,,Worley
Volkswagen,Touareg 2,2008,suv,DIESEL,68,4.99,Spokane
GMC,Sierra 3500HD,2011,truck,GASOLINE,5,4.8,Spokane Valley
Ford,Mustang,2020,car,GASOLINE,0,,Spokane
Kia,Soul,2016,car,GASOLINE,19,5.0,Spokane
Ford,Fusion,2014,car,HYBRID,17,4.94,Spokane Valley
Volkswagen,Jetta,2011,car,GASOLINE,6,5.0,Spokane Valley
Toyota,RAV4,2016,suv,GASOLINE,3,5.0,Green Bay
Toyota,Corolla,2015,car,GASOLINE,6,4.83,Greensboro
Chevrolet,Sonic,2014,car,GASOLINE,8,4.75,Greensboro
Toyota,Corolla,2016,car,GASOLINE,1,5.0,Kernersville
Hyundai,Sonata,2017,car,GASOLINE,30,4.93,Greensboro
Chevrolet,Impala Limited,2015,car,GASOLINE,38,4.61,Greensboro
Mazda,CX-5,2014,suv,GASOLINE,5,5.0,McLeansville
Mercedes-Benz,Sprinter,2016,van,DIESEL,4,5.0,Greensboro
Ford,F-150,2014,truck,GASOLINE,0,,High Point
FIAT,500,2012,car,GASOLINE,25,4.84,Greensboro
Pontiac,G6,2010,car,GASOLINE,10,4.7,Jamestown
Chevrolet,HHR,2009,car,GASOLINE,8,4.88,Jamestown
Nissan,Murano,2015,suv,GASOLINE,9,5.0,Winston-Salem
Volkswagen,Touareg,2013,suv,GASOLINE,62,4.76,Winston-Salem
Honda,Accord Sedan,2019,car,GASOLINE,0,,Simpsonville
Subaru,XV Crosstrek,2013,suv,GASOLINE,72,4.89,Greenville
Jeep,Patriot,2016,suv,GASOLINE,27,4.78,Greenville
Tesla,Model S,2017,car,ELECTRIC,9,5.0,Easley
Audi,A3,2009,car,GASOLINE,19,5.0,Simpsonville
Honda,Pilot,2020,suv,GASOLINE,0,,Greer
Mercedes-Benz,C-Class,2015,car,GASOLINE,0,,Greer
Tesla,Model S,2013,car,ELECTRIC,40,5.0,Friendswood
Dodge,Challenger,2016,car,GASOLINE,54,5.0,Pasadena
Chevrolet,Corvette,2009,car,GASOLINE,2,5.0,Pasadena
Chevrolet,Express Cargo,2009,van,GASOLINE,4,5.0,Friendswood
Mercedes-Benz,G-Class,2013,suv,GASOLINE,1,5.0,Missouri City
Ram,1500,2015,truck,DIESEL,2,5.0,Bacliff
Polaris,Slingshot,2015,car,GASOLINE,3,5.0,Dickinson
Tesla,Model 3,2020,car,ELECTRIC,7,5.0,Friendswood
Tesla,Model 3,2019,car,ELECTRIC,4,4.75,Katy
Chrysler,300,2014,car,GASOLINE,8,5.0,Pasadena
Dodge,Grand Caravan,2017,minivan,GASOLINE,23,4.96,Houston
Nissan,Altima,2016,car,GASOLINE,4,5.0,Houston
MINI,Cooper Countryman,2016,car,GASOLINE,24,5.0,League City
Chrysler,Pacifica,2007,car,GASOLINE,32,4.41,Houston
Chrysler,200,2015,car,GASOLINE,19,5.0,Houston
Land Rover,Range Rover Evoque,2016,suv,GASOLINE,9,4.44,Houston
Honda,Odyssey,2012,minivan,GASOLINE,52,4.96,Pearland
Hyundai,Sonata,2018,car,GASOLINE,43,4.79,Pearland
Toyota,4Runner,2015,suv,GASOLINE,5,4.2,Friendswood
BMW,3 Series,2011,car,GASOLINE,4,5.0,Houston
Mercedes-Benz,CLA-Class,2014,car,GASOLINE,32,4.91,Sugar Land
Chevrolet,Malibu,2014,car,GASOLINE,2,1.5,Houston
Subaru,Forester,2013,suv,GASOLINE,0,,Houston
Honda,CR-V,2011,suv,GASOLINE,49,4.94,Houston
Toyota,Prius,2013,car,HYBRID,50,4.8,Missouri City
Chevrolet,Camaro,2011,car,GASOLINE,50,4.74,Houston
Toyota,Corolla,2016,car,GASOLINE,129,4.88,Missouri City
Nissan,Murano,2016,suv,GASOLINE,6,5.0,Sugar Land
Toyota,Camry,2018,car,GASOLINE,8,5.0,Houston
Mercedes-Benz,E-Class,2011,car,GASOLINE,1,1.0,Houston
Toyota,Avalon,2009,car,GASOLINE,25,4.92,Missouri City
Mercedes-Benz,E-Class,2012,car,GASOLINE,23,5.0,Houston
Hyundai,Elantra,2015,car,GASOLINE,9,4.0,Houston
Toyota,Camry,2011,car,GASOLINE,10,4.9,Missouri City
Toyota,Camry,2011,car,GASOLINE,57,4.82,Missouri City
Toyota,Camry,2011,car,GASOLINE,93,4.89,Missouri City
Lexus,RX 350,2016,suv,GASOLINE,7,5.0,Katy
Audi,A4,2017,car,GASOLINE,49,4.92,Katy
BMW,3 Series,2008,car,GASOLINE,116,4.79,Houston
Toyota,Corolla,2010,car,GASOLINE,51,4.94,Missouri City
Toyota,Corolla,2010,car,GASOLINE,26,4.92,Missouri City
Mercedes-Benz,GLK-Class,2011,suv,GASOLINE,19,5.0,Houston
Acura,MDX,2014,suv,GASOLINE,6,4.83,Katy
Hyundai,Santa Fe,2020,suv,GASOLINE,9,5.0,Houston
Toyota,Corolla,2015,car,GASOLINE,6,4.83,Missouri City
Lexus,ES 350,2016,car,GASOLINE,0,,Houston
Toyota,Corolla,2014,car,GASOLINE,22,4.91,Missouri City
Toyota,Prius,2011,car,HYBRID,19,4.95,Missouri City
Toyota,Camry,2011,car,GASOLINE,38,4.82,Missouri City
Toyota,Camry,2016,car,GASOLINE,42,4.62,Houston
Toyota,Corolla,2009,car,GASOLINE,31,4.94,Missouri City
Toyota,Camry,2009,car,GASOLINE,29,5.0,Missouri City
Toyota,Corolla,2013,car,GASOLINE,19,4.95,Missouri City
Toyota,Corolla,2006,car,GASOLINE,44,4.98,Missouri City
Toyota,Camry,2016,car,GASOLINE,1,5.0,Katy
Toyota,Corolla,2010,car,GASOLINE,55,4.82,Missouri City
Toyota,Corolla,2008,car,GASOLINE,54,4.91,Missouri City
Kia,Forte,2019,car,GASOLINE,7,5.0,Houston
Hyundai,Elantra,2019,car,GASOLINE,6,5.0,Houston
Honda,Accord Sedan,2019,car,GASOLINE,45,4.84,Houston
Nissan,Xterra,2013,suv,GASOLINE,0,,Conroe
Chevrolet,Tahoe Hybrid,2009,suv,HYBRID,5,5.0,Houston
Mercedes-Benz,C-Class,2017,car,GASOLINE,5,5.0,Houston
Toyota,Corolla,2010,car,GASOLINE,7,4.86,Missouri City
Nissan,Murano,2015,suv,GASOLINE,18,5.0,Katy
Toyota,Camry,2018,car,GASOLINE,21,4.71,Houston
Ford,Transit Wagon,2016,van,GASOLINE,2,5.0,Missouri City
Mercedes-Benz,Sprinter,2018,van,DIESEL,1,5.0,Missouri City
Toyota,Camry,2013,car,GASOLINE,6,5.0,Sugar Land
Toyota,Camry,2011,car,GASOLINE,2,5.0,Sugar Land
Lexus,ES 300h,2016,car,HYBRID,1,5.0,Katy
Toyota,Corolla,2013,car,GASOLINE,2,4.0,Missouri City
Hyundai,Tucson,2013,suv,GASOLINE,0,,Houston
Toyota,Camry,2016,car,GASOLINE,4,4.5,Katy
Tesla,Model X,2018,suv,ELECTRIC,1,5.0,Toney
Chevrolet,Volt,2017,car,HYBRID,3,5.0,Huntsville
Ford,Fusion,2012,car,GASOLINE,0,,Huntsville
Ford,Mustang,2017,car,GASOLINE,5,5.0,Huntsville
Kia,Soul,2018,car,GASOLINE,17,4.76,Huntsville
Tesla,Model Y,2020,suv,ELECTRIC,1,5.0,Madison
Mercedes-Benz,E-Class,2011,car,GASOLINE,3,5.0,Huntsville
Hyundai,Elantra,2020,car,GASOLINE,3,5.0,Huntsville
Jeep,Wrangler,2011,suv,GASOLINE,11,4.91,Sterling
Mercedes-Benz,GL-Class,2012,suv,GASOLINE,5,5.0,Ashburn
Tesla,Model 3,2019,car,ELECTRIC,24,5.0,Ashburn
Tesla,Model S,2015,car,ELECTRIC,19,4.84,STERLING
Porsche,Cayenne,2015,suv,GASOLINE,17,5.0,Chantilly
Tesla,Model 3,2017,car,ELECTRIC,8,5.0,Vienna
Honda,Insight,2013,car,HYBRID,27,4.56,Herndon
Volvo,XC40,2019,suv,GASOLINE,5,5.0,Sterling
Tesla,Model S,2015,car,ELECTRIC,10,4.8,Herndon
Mercedes-Benz,E-Class,2016,car,GASOLINE,0,,Fairfax
Chevrolet,Bolt EV,2017,car,ELECTRIC,73,4.86,Sterling
Hyundai,Sonata,2015,car,GASOLINE,78,5.0,Herndon
Toyota,Highlander,2015,suv,GASOLINE,10,5.0,Chantilly
Toyota,Prius,2017,car,HYBRID,6,5.0,Sterling
Hyundai,Santa Fe,2019,suv,GASOLINE,0,,Oak Hill
Nissan,Altima,2013,car,GASOLINE,1,5.0,Sterling
Tesla,Model 3,2020,car,ELECTRIC,0,,Gaithersburg
Dodge,Charger,2015,car,GASOLINE,4,5.0,Herndon
Chevrolet,Volt,2017,car,HYBRID,70,4.93,Sterling
Jeep,Gladiator,2020,truck,GASOLINE,4,5.0,Herndon
Infiniti,QX60,2014,suv,GASOLINE,1,5.0,Ashburn
Mazda,CX-9,2019,suv,GASOLINE,35,5.0,Ashburn
Dodge,Grand Caravan,2014,minivan,GASOLINE,10,5.0,Herndon
Kia,Forte,2010,car,GASOLINE,57,4.96,Herndon
Tesla,Model 3,2020,car,ELECTRIC,6,5.0,Frederick
Chevrolet,Malibu,2012,car,GASOLINE,17,5.0,Herndon
Ford,F-150,2014,truck,GASOLINE,92,4.85,Sterling
BMW,3-Series,2020,car,GASOLINE,15,5.0,Chantilly
Mercedes-Benz,C-Class,2008,car,GASOLINE,28,4.96,Chantilly
Buick,Enclave,2015,suv,GASOLINE,0,,Herndon
Chevrolet,Volt,2013,car,HYBRID,119,4.74,Sterling
Tesla,Model X,2018,suv,ELECTRIC,1,5.0,Sterling
Ford,F-150,2018,truck,GASOLINE,0,,Aldie
Toyota,Camry,2017,car,GASOLINE,1,5.0,Chantilly
Alfa-romeo,Giulia,2019,car,GASOLINE,1,5.0,Centreville
Mazda,MAZDA5,2012,minivan,GASOLINE,0,,Herndon
Alfa-romeo,Stelvio,2019,suv,GASOLINE,1,5.0,Centreville
Kia,Soul,2016,car,GASOLINE,21,5.0,Chantilly
Toyota,Sienna,2012,minivan,GASOLINE,3,5.0,Ashburn
Kia,Forte,2017,car,GASOLINE,13,5.0,Chantilly
Ford,Fusion,2014,car,GASOLINE,0,,Ashburn
Mazda,MAZDA5,2010,minivan,GASOLINE,16,4.75,Chantilly
Toyota,Highlander,2011,suv,GASOLINE,0,,Reston
Honda,CR-V,2015,suv,GASOLINE,7,5.0,Chantilly
Hyundai,Sonata,2013,car,GASOLINE,9,5.0,Fairfax
Kia,Forte,2014,car,GASOLINE,4,5.0,Chantilly
Mazda,3,2018,car,GASOLINE,31,5.0,Ashburn
Toyota,Yaris,2020,car,GASOLINE,18,5.0,Chantilly
Hyundai,Sonata,2013,car,GASOLINE,3,5.0,Fairfax
Honda,Civic,2014,car,GASOLINE,10,4.7,Chantilly
Nissan,Sentra,2014,car,GASOLINE,4,5.0,Fairfax
Land Rover,Range Rover Evoque,2013,suv,GASOLINE,24,4.96,Vienna
Toyota,Corolla,2009,car,GASOLINE,13,4.92,Fairfax
Mercedes-Benz,C-Class,2010,car,GASOLINE,40,5.0,Leesburg
Mazda,3,2016,car,GASOLINE,35,4.83,Washington
Honda,Accord,2012,car,GASOLINE,31,4.58,Alexandria
Toyota,Camry,2014,car,GASOLINE,24,4.75,Chantilly
BMW,3 Series,2011,car,GASOLINE,27,4.85,Vienna
Honda,Civic,2008,car,GASOLINE,25,4.8,Alexandria
BMW,3 Series,2010,car,GASOLINE,42,4.79,Rockville
Mercedes-Benz,S-Class,2013,car,GASOLINE,0,,Houston
Land Rover,Range Rover,2014,suv,GASOLINE,6,5.0,Humble
Mercedes-Benz,GL-Class,2012,suv,GASOLINE,24,5.0,Humble
Acura,ILX,2013,car,GASOLINE,41,4.98,Richmond
Audi,A8,2013,car,GASOLINE,10,4.8,Houston
Tesla,Model S,2015,car,ELECTRIC,18,5.0,Spring
Tesla,Model 3,2018,car,ELECTRIC,41,5.0,Humble
Acura,ILX,2017,car,GASOLINE,148,4.66,Houston
Audi,S5,2018,car,GASOLINE,10,5.0,Houston
Chevrolet,Camaro,2017,car,GASOLINE,1,5.0,New Caney
Aston Martin,V8 Vantage,2012,car,GASOLINE,9,5.0,Houston
Toyota,Camry,2013,car,GASOLINE,15,5.0,Houston
Porsche,Cayman,2016,car,GASOLINE,15,5.0,Cypress
Mercedes-Benz,S-Class,2015,car,GASOLINE,0,,Houston
Polaris,Slingshot,2017,car,GASOLINE,22,4.82,Houston
Mercedes-Benz,C-Class,2016,car,GASOLINE,46,4.89,Cypress
Audi,A8,2011,car,GASOLINE,67,4.82,Houston
Maserati,Ghibli,2016,car,GASOLINE,18,4.83,Houston
Lexus,ES 350,2014,car,GASOLINE,0,,Humble
Audi,A3,2016,car,GASOLINE,1,5.0,Cypress
Tesla,Model 3,2019,car,ELECTRIC,2,5.0,Houston
Volkswagen,Tiguan,2018,suv,GASOLINE,6,5.0,Houston
Lexus,RX 350,2016,suv,GASOLINE,6,4.67,Conroe
Porsche,Boxster,2011,car,GASOLINE,13,4.69,Houston
Audi,A7,2014,car,GASOLINE,81,4.56,Spring
Lexus,LX,2019,suv,,6,5.0,Houston
Toyota,Sienna,2012,minivan,GASOLINE,0,,Houston
Infiniti,Q50,2014,car,GASOLINE,3,5.0,Houston
Jeep,Renegade,2015,suv,GASOLINE,55,4.89,Houston
Hyundai,Elantra,2020,car,GASOLINE,0,,Houston
Cadillac,XTS,2017,car,GASOLINE,0,,Houston
BMW,X5,2012,suv,GASOLINE,11,5.0,Houston
Nissan,Murano,2012,suv,GASOLINE,72,4.85,Houston
Honda,Accord,2010,car,GASOLINE,87,4.87,Houston
BMW,5 Series,2015,car,GASOLINE,0,,LINTHICUM HEIGHTS
Honda,Accord Sedan,2019,car,HYBRID,5,5.0,Houston
Honda,Odyssey,2013,minivan,GASOLINE,16,5.0,Cypress
Toyota,RAV4,2012,suv,GASOLINE,64,4.84,Houston
Nissan,Versa Note,2015,car,GASOLINE,5,5.0,Conroe
INFINITI,Q50,2018,car,GASOLINE,9,5.0,Houston
Chevrolet,Equinox,2015,suv,GASOLINE,39,4.87,Houston
Scion,tC,2011,car,GASOLINE,87,4.86,Houston
Chevrolet,Cruze,2014,car,GASOLINE,115,4.83,Houston
Jeep,Cherokee,2016,suv,GASOLINE,8,5.0,Houston
Cadillac,Escalade,2017,suv,GASOLINE,0,,Spring
BMW,7 Series,2012,car,GASOLINE,0,,Houston
Ford,Focus,2014,car,GASOLINE,53,4.91,Houston
Toyota,RAV4,2012,suv,GASOLINE,30,4.8,Houston
Chevrolet,Cruze,2013,car,GASOLINE,63,4.86,Houston
Ford,F-150,2018,truck,GASOLINE,0,,Houston
Ford,Focus,2015,car,GASOLINE,12,5.0,Houston
Nissan,Rogue,2013,suv,GASOLINE,69,4.75,Houston
FIAT,500X,2016,suv,GASOLINE,24,4.83,Spring
Ford,F-150,2010,truck,GASOLINE,28,4.89,Houston
Jeep,Renegade,2017,suv,GASOLINE,17,4.88,Houston
Buick,Verano,2013,car,GASOLINE,44,4.86,Houston
Ford,Escape,2017,suv,GASOLINE,9,5.0,Houston
Kia,Soul,2013,car,GASOLINE,51,4.84,Houston
Chevrolet,Malibu,2017,car,GASOLINE,35,4.97,Houston
Chevrolet,Cruze,2016,car,GASOLINE,2,5.0,Houston
Nissan,Frontier,2014,truck,GASOLINE,87,4.74,Houston
Chevrolet,Equinox,2014,suv,GASOLINE,26,4.92,Houston
Chevrolet,Equinox,2015,suv,GASOLINE,7,4.71,Houston
Volkswagen,Jetta,2007,car,GASOLINE,55,4.93,Houston
Mazda,MAZDA5,2013,minivan,GASOLINE,25,4.72,Houston
Lamborghini,Gallardo,2010,car,GASOLINE,1,5.0,Houston
Land Rover,Range Rover Sport,2014,suv,GASOLINE,3,5.0,Houston
Kia,Soul,2014,car,GASOLINE,12,4.83,Houston
Toyota,RAV4,2010,suv,GASOLINE,23,5.0,Houston
Chevrolet,Cruze,2014,car,GASOLINE,33,4.73,Houston
Mercedes-Benz,C-Class,2015,car,GASOLINE,17,5.0,Houston
Hyundai,Sonata,2011,car,GASOLINE,13,4.62,Houston
Scion,xB,2013,car,GASOLINE,0,,Houston
Dodge,Charger,2019,car,GASOLINE,4,5.0,Cypress
Jaguar,XJ,2013,car,GASOLINE,0,,Wichita
BMW,5 Series,2010,car,GASOLINE,58,5.0,Valley Center
Bentley,Continental Supersports,2011,car,GASOLINE,4,5.0,Valley Center
Chevrolet,Corvette,2017,car,GASOLINE,18,5.0,Wichita
Mercedes-Benz,E-Class,2010,car,GASOLINE,67,5.0,Valley Center
Nissan,Frontier,2019,truck,GASOLINE,2,5.0,Andover
Bentley,Continental GTC,2013,car,GASOLINE,2,5.0,Valley Center
Lexus,NX 200t,2017,suv,GASOLINE,6,4.67,Wichita
BMW,3 Series,2012,car,GASOLINE,2,5.0,Wichita
Honda,Civic,2015,car,GASOLINE,0,,Wichita
Toyota,Corolla,2016,car,GASOLINE,118,5.0,Indianapolis
Chevrolet,Silverado 1500,2009,truck,GASOLINE,130,4.93,Indianapolis
Polaris,Slingshot,2016,car,GASOLINE,1,5.0,Indianapolis
Volkswagen,Eos,2010,car,GASOLINE,4,5.0,Noblesville
Honda,Insight,2014,car,HYBRID,99,4.98,Indianapolis
Chrysler,Pacifica,2017,minivan,GASOLINE,126,4.98,Noblesville
Toyota,Yaris iA,2017,car,GASOLINE,2,5.0,Indianapolis
Honda,S2000,2007,car,GASOLINE,48,4.98,Noblesville
Toyota,Yaris iA,2017,car,GASOLINE,1,5.0,Indianapolis
Jeep,Wrangler,2015,suv,GASOLINE,9,5.0,Westfield
Tesla,Model 3,2018,car,ELECTRIC,33,5.0,Indianapolis
Tesla,Model X,2018,suv,ELECTRIC,6,5.0,Indianapolis
Tesla,Model 3,2018,car,ELECTRIC,57,4.98,Fishers
Hyundai,Accent,2014,car,GASOLINE,14,5.0,Indianapolis
Toyota,Prius,2016,car,HYBRID,21,5.0,Noblesville
Toyota,Yaris iA,2018,car,GASOLINE,2,5.0,Noblesville
Toyota,Yaris,2020,car,GASOLINE,5,5.0,Noblesville
Audi,A7,2012,car,GASOLINE,9,5.0,Indianapolis
Toyota,Supra,2020,car,GASOLINE,50,5.0,Noblesville
Tesla,Model Y,2020,suv,ELECTRIC,0,,Fishers
Hyundai,Sonata,2018,car,GASOLINE,52,4.92,Avon
BMW,5 Series,2012,car,GASOLINE,4,5.0,Indianapolis
Hyundai,Tucson,2019,suv,GASOLINE,46,5.0,Avon
Acura,TLX,2015,car,GASOLINE,3,5.0,Greenwood
Chevrolet,Volt,2016,car,HYBRID,46,4.8,Avon
Tesla,Model S,2015,car,ELECTRIC,18,5.0,Noblesville
Chevrolet,Equinox,2017,suv,GASOLINE,0,,Avon
Honda,Civic,2013,car,GASOLINE,44,4.93,Indianapolis
Chevrolet,Silverado 1500,2008,truck,GASOLINE,14,4.93,Indianapolis
Ford,F-150,2007,truck,GASOLINE,47,4.94,Indianapolis
Dodge,Charger,2019,car,GASOLINE,0,,Indianapolis
Ford,Escape,2015,suv,GASOLINE,50,4.96,Indianapolis
Chevrolet,Cruze,2015,car,GASOLINE,13,4.92,Indianapolis
Infiniti,G Sedan,2012,car,GASOLINE,7,5.0,Fishers
Chevrolet,Equinox,2019,suv,GASOLINE,29,5.0,Plainfield
Chevrolet,Trax,2019,suv,GASOLINE,22,5.0,Plainfield
Tesla,Model 3,2018,car,ELECTRIC,10,5.0,Jacksonville
Tesla,Model 3,2019,car,ELECTRIC,28,4.89,Jacksonville
BMW,X5,2015,suv,GASOLINE,30,5.0,Jacksonville Beach
Chevrolet,Corvette,2019,car,GASOLINE,113,4.98,Jacksonville
Chevrolet,Corvette,2019,car,GASOLINE,77,4.94,Jacksonville
Jaguar,F-TYPE,2015,car,GASOLINE,49,5.0,Jacksonville
Chevrolet,Corvette Stingray,2014,car,GASOLINE,70,4.97,Jacksonville
Nissan,370Z,2011,car,GASOLINE,0,,Jacksonville
Tesla,Model 3,2020,car,ELECTRIC,6,5.0,Jacksonville
Chevrolet,Express,2015,van,GASOLINE,7,4.57,Jacksonville
Toyota,Corolla,2016,car,GASOLINE,71,4.99,Jacksonville
Chevrolet,Express,2017,van,GASOLINE,0,,Jacksonville
Chevrolet,Corvette Stingray,2014,car,GASOLINE,24,5.0,Jacksonville
Porsche,Cayman,2014,car,GASOLINE,38,5.0,Jacksonville
Chevrolet,Camaro,2016,car,GASOLINE,7,5.0,Jacksonville
Maserati,Ghibli,2016,car,GASOLINE,38,4.97,Jacksonville
Chevrolet,Corvette,2019,car,GASOLINE,119,4.98,Jacksonville
Porsche,Cayman,2014,car,GASOLINE,62,5.0,Jacksonville
Chevrolet,Express,2017,van,GASOLINE,0,,Jacksonville
Chevrolet,Express,2017,van,GASOLINE,0,,Jacksonville
Chevrolet,Express,2016,van,GASOLINE,3,5.0,Jacksonville
Tesla,Model 3,2018,car,ELECTRIC,7,5.0,Saint Johns
BMW,Z4,2014,car,GASOLINE,39,5.0,Jacksonville
Porsche,Boxster,2011,car,GASOLINE,48,5.0,Jacksonville
Mercedes-Benz,SLK-Class,2013,car,GASOLINE,48,4.92,Jacksonville
Ford,C-Max Hybrid,2016,car,HYBRID,40,4.95,Jacksonville
Dodge,Durango,2017,suv,GASOLINE,111,4.87,Jacksonville
Polaris,Slingshot,2019,car,GASOLINE,7,5.0,Jacksonville
Chevrolet,Camaro,2019,car,GASOLINE,1,5.0,Jacksonville
BMW,2 Series,2016,car,GASOLINE,45,4.98,Jacksonville
Kia,Sedona,2016,minivan,GASOLINE,8,4.5,Jacksonville
Chevrolet,Camaro,2016,car,GASOLINE,0,,Jacksonville
Chevrolet,Corvette,2016,car,GASOLINE,4,4.25,Jacksonville
smart,fortwo,2015,car,GASOLINE,29,5.0,Jacksonville
Toyota,Prius,2011,car,HYBRID,11,5.0,Jacksonville
Jeep,Renegade,2017,suv,GASOLINE,116,4.82,Jacksonville
Jeep,Wrangler,2017,suv,GASOLINE,15,5.0,Fernandina Beach
BMW,4 Series,2015,car,GASOLINE,39,5.0,Jacksonville
Ford,Focus,2017,car,GASOLINE,14,5.0,Jacksonville
Mercedes-Benz,CLA-Class,2014,car,GASOLINE,49,5.0,Jacksonville
Toyota,Camry,2018,car,GASOLINE,27,4.96,St. Augustine
Mercedes-Benz,Metris,2016,minivan,GASOLINE,31,4.94,Jacksonville
Mercedes-Benz,380sl,1983,car,GASOLINE,0,,Jacksonville
Ford,F-150,2013,truck,GASOLINE,0,,Jacksonville
BMW,X3,2016,suv,GASOLINE,42,5.0,Jacksonville
Mazda,3,2017,car,GASOLINE,7,5.0,Jacksonville
Dodge,Charger,2016,car,GASOLINE,2,5.0,Jacksonville
BMW,3 Series Gran Turismo,2016,car,GASOLINE,53,5.0,Jacksonville
Mercedes-Benz,GLC-Class,2016,suv,GASOLINE,0,,Jacksonville
Mercedes-Benz,CLA-Class,2016,car,GASOLINE,37,5.0,Jacksonville
Mercedes-Benz,GLA-Class,2015,suv,GASOLINE,42,4.98,Jacksonville
Mercedes-Benz,CLA-Class,2016,car,GASOLINE,27,5.0,Jacksonville
Mercedes-Benz,CLA-Class,2016,car,GASOLINE,3,4.67,Jacksonville
Chevrolet,Equinox,2010,suv,GASOLINE,4,5.0,Macclenny
Nissan,Pathfinder,2017,suv,GASOLINE,0,,Jacksonville
Honda,Civic,2018,car,GASOLINE,108,5.0,Jacksonville
Chevrolet,Cruze,2018,car,GASOLINE,104,5.0,Jacksonville
Dodge,Grand Caravan,2018,minivan,GASOLINE,11,5.0,Jacksonville
Jeep,Grand Cherokee,2018,suv,GASOLINE,5,5.0,Jacksonville
Hyundai,Tucson,2017,suv,GASOLINE,22,5.0,Jacksonville
Nissan,Murano,2015,suv,GASOLINE,48,4.77,Jacksonville
Mazda,CX-5,2016,suv,GASOLINE,14,5.0,Fleming Island
Toyota,Corolla,2017,car,GASOLINE,18,4.89,Jacksonville
Ford,Fusion Hybrid,2017,car,HYBRID,5,4.4,Jacksonville
Toyota,Yaris,2019,car,GASOLINE,31,5.0,Jacksonville
Chevrolet,Cruze,2018,car,GASOLINE,2,4.5,Fleming Island
Nissan,Rogue,2014,suv,GASOLINE,3,5.0,Gainesville
Chevrolet,Corvette,2016,car,GASOLINE,6,5.0,Joplin
Honda,Civic,2016,car,GASOLINE,130,4.82,Las Vegas
BMW,M4,2015,car,GASOLINE,25,5.0,Henderson
Chevrolet,Camaro,2017,car,GASOLINE,200,4.92,Las Vegas
